"Exp_slope","Power_slope","Zeta_order1","Zeta_order2","Zeta_order3","Zeta_last","Zeta_half_order","Last_over_first","Common_n","Iteration","Group","DeltaAIC_ExpMinusPower","PowerLaw_better","Dilution_rank"
-0.0561112377562256,-0.248620606681357,1,0.827527937846954,0.739762173508386,0.5637735400701,0.651080785192352,0.5637735400701,10,1,"D0",34.9700854880412,TRUE,0
-0.130751271852456,-0.572470052754883,1,0.676817505570148,0.52826894740214,0.272919469536806,0.388438395837973,0.272919469536806,10,1,"D1",45.3159405577883,TRUE,1
-0.110402614170423,-0.507651020808718,1,0.594627278224065,0.469659670035415,0.298004664420834,0.372958287573473,0.298004664420834,10,1,"D3",19.4345921957378,TRUE,3
-0.172141270747665,-0.756503595162362,1,0.547130068457083,0.400770142180095,0.169826224328594,0.279062915318839,0.169826224328594,10,1,"D5",40.4162883793532,TRUE,5
-0.225267602012105,-1.01157060005376,1,0.430058479532164,0.267456140350877,0.0947368421052632,0.160902255639098,0.0947368421052632,10,1,"D6",27.0766797801761,TRUE,6
-0.172316310453122,-0.806382955242914,1,0.3996399639964,0.276402640264026,0.144014401440144,0.192840712642693,0.144014401440144,10,1,"D7",16.2826548628024,TRUE,7
-0.0587724254746312,-0.257545515321602,1,0.830880230880231,0.742945690672963,0.552538370720189,0.651597140233504,0.552538370720189,10,2,"D0",48.0122084668022,TRUE,0
-0.12790528348678,-0.558929735359398,1,0.683781220360417,0.538318052481821,0.280746127094531,0.399457517225459,0.280746127094531,10,2,"D1",48.9750255935544,TRUE,1
-0.111551248635328,-0.510216192359005,1,0.595883053160294,0.473369044508318,0.295270446825189,0.376221998249696,0.295270446825189,10,2,"D3",20.4191583515763,TRUE,3
-0.140679901852728,-0.627373939077377,1,0.586168257810049,0.446685491461611,0.229931423961275,0.329513948916934,0.229931423961275,10,2,"D5",30.1007356838235,TRUE,5
-0.195508268142139,-0.890556198599203,1,0.451557960124236,0.292906522392546,0.126239855725879,0.187338085219059,0.126239855725879,10,2,"D6",22.2736939524578,TRUE,6
-0.288571700929109,-1.30385643306545,1,0.333802949187565,0.182727528881375,0.0507185122569738,0.0921117954084987,0.0507185122569738,10,2,"D7",24.7744390714513,TRUE,7
-0.0588611623560078,-0.258049526949221,1,0.830597431602457,0.742516504089073,0.552172627845108,0.650648198978084,0.552172627845108,10,3,"D0",47.2203606510111,TRUE,0
-0.10894787440844,-0.479109419606769,1,0.708061002178649,0.574234068627451,0.333946078431373,0.44698052832244,0.333946078431373,10,3,"D1",42.1868325587953,TRUE,1
-0.112824649415977,-0.514410779222361,1,0.594187675070028,0.472623424369748,0.291491596638655,0.376442243564092,0.291491596638655,10,3,"D3",20.9599783836046,TRUE,3
-0.159479188869023,-0.70567609825613,1,0.563465715808025,0.416605188737243,0.191811139800811,0.296016230173368,0.191811139800811,10,3,"D5",35.1374081101771,TRUE,5
-0.212503288015613,-0.948410285493958,1,0.445164942617467,0.289717461787865,0.106530801296897,0.185454759331554,0.106530801296897,10,3,"D6",29.0892387933788,TRUE,6
-0.274045507017077,-1.24554003762895,1,0.323950617283951,0.183611111111111,0.0555555555555556,0.0974867724867725,0.0555555555555556,10,3,"D7",22.9222855336315,TRUE,7
-0.0565998970661011,-0.250020261905057,1,0.82909373170459,0.741385945177905,0.561837665028714,0.652242247914499,0.561837665028714,10,4,"D0",37.5778772953684,TRUE,0
-0.109054454706157,-0.479244115849735,1,0.708973393829647,0.575240594925634,0.333882683269243,0.447722619943825,0.333882683269243,10,4,"D1",43.0702384827256,TRUE,1
-0.115074865504532,-0.524500870711786,1,0.592920353982301,0.468022779416585,0.285152409046214,0.3695509668961,0.285152409046214,10,4,"D3",21.2065875719387,TRUE,3
-0.168980900783384,-0.753116967174223,1,0.540873807939676,0.388922155688623,0.17564870259481,0.266166080537338,0.17564870259481,10,4,"D5",31.0691517213073,TRUE,5
-0.215594666957447,-0.952444675796448,1,0.469359963685883,0.311885307913451,0.108942351339083,0.195800819949708,0.108942351339083,10,4,"D6",37.0523776184137,TRUE,6
-0.224253499269208,-1.00978936458585,1,0.395729684908789,0.254975124378109,0.0932835820895522,0.159174366263918,0.0932835820895522,10,4,"D7",25.4212089660111,TRUE,7
-0.0594264615350158,-0.260647085553911,1,0.828387079766165,0.739768076398363,0.548668367044309,0.647336875315996,0.548668367044309,10,5,"D0",46.4840700265916,TRUE,0
-0.129013986985689,-0.564415137309353,1,0.677884821237422,0.531283451081139,0.276172125883109,0.394113629181067,0.276172125883109,10,5,"D1",48.5422096892807,TRUE,1
-0.121817497871066,-0.558155877859692,1,0.573940049358068,0.440895100241245,0.264537060144747,0.341832348944902,0.264537060144747,10,5,"D3",20.2369713839603,TRUE,3
-0.152480404221416,-0.680038208960423,1,0.56034188034188,0.417884615384615,0.203846153846154,0.300610500610501,0.203846153846154,10,5,"D5",30.1527597607939,TRUE,5
-0.183964937220248,-0.837464655331281,1,0.467986140775547,0.311120603730599,0.140965399401965,0.207295078076795,0.140965399401965,10,5,"D6",22.3286771019154,TRUE,6
-0.246627557977052,-1.10717579097205,1,0.359259259259259,0.22662037037037,0.0740740740740741,0.135765726043504,0.0740740740740741,10,5,"D7",26.2051998917214,TRUE,7
-0.0559987082012003,-0.248185019375651,1,0.827092991005983,0.739386465390863,0.56400808272911,0.65128325588328,0.56400808272911,10,6,"D0",34.7757062984942,TRUE,0
-0.129704986323424,-0.567875029611155,1,0.676289625513615,0.528235507014967,0.273998850354474,0.390846530432658,0.273998850354474,10,6,"D1",47.0068860923746,TRUE,1
-0.113046566436148,-0.51740598815585,1,0.587357675696898,0.464347195795959,0.288121772220712,0.369859822156642,0.288121772220712,10,6,"D3",20.0283891823373,TRUE,3
-0.152186246981816,-0.672597942829847,1,0.571896692967706,0.432156254042168,0.205665502522313,0.314565355310408,0.205665502522313,10,6,"D5",34.9799524318992,TRUE,5
-0.232290667494614,-1.03138924966716,1,0.438153124333547,0.278071017274472,0.0911708253358925,0.166042104621759,0.0911708253358925,10,6,"D6",33.3862218093432,TRUE,6
-0.295626143413289,-1.31184620333664,1,0.337224383916991,0.199578469520104,0.0486381322957198,0.103143721820765,0.0486381322957198,10,6,"D7",33.0489316679525,TRUE,7
-0.0560918420453976,-0.247566778989845,1,0.831437977937801,0.744550033447448,0.565458623539133,0.65593537615731,0.565458623539133,10,7,"D0",38.4355185728838,TRUE,0
-0.129226685592775,-0.564614836300974,1,0.681637250169643,0.534754139646163,0.277025750802745,0.395950946854429,0.277025750802745,10,7,"D1",49.4025328480087,TRUE,1
-0.11018983828554,-0.504910723090936,1,0.595095623606711,0.473336853220697,0.29831045406547,0.378146946916746,0.29831045406547,10,7,"D3",19.9380917548178,TRUE,3
-0.172780161523915,-0.759245664263577,1,0.550931133608299,0.400543682039745,0.168728908886389,0.2777182614078,0.168728908886389,10,7,"D5",40.9506038573524,TRUE,5
-0.18598273398347,-0.84091277200588,1,0.479005321110584,0.325114588272483,0.142247510668563,0.212976134028766,0.142247510668563,10,7,"D6",24.590261441983,TRUE,6
