Proportion.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
0.9	0.0020353982300885	0.00414413477414866	0.000414413477414866	weighted	No	D3
0.95	0.000884955752212389	0.00320682776698884	0.000320682776698884	weighted	No	D3
1	0	0	0	weighted	No	D3
0.05	0.0889380530973451	0.0091029252198947	0.00091029252198947	unweighted	No	D3
0.1	0.0784955752212389	0.0133503973848831	0.00133503973848831	unweighted	No	D3
0.15	0.0730973451327434	0.0136992855068275	0.00136992855068275	unweighted	No	D3
0.2	0.0621238938053097	0.0157091763489019	0.00157091763489019	unweighted	No	D3
0.25	0.0571681415929204	0.0172197532448631	0.00172197532448631	unweighted	No	D3
0.3	0.0511504424778761	0.0159391326086297	0.00159391326086297	unweighted	No	D3
0.35	0.0438053097345133	0.0144717797284334	0.00144717797284334	unweighted	No	D3
0.4	0.0417699115044248	0.0136680679527564	0.00136680679527564	unweighted	No	D3
0.45	0.0332743362831858	0.0156658100039766	0.00156658100039766	unweighted	No	D3
0.5	0.0282300884955752	0.0144892610285029	0.00144892610285029	unweighted	No	D3
0.55	0.0232743362831858	0.0138162956840545	0.00138162956840545	unweighted	No	D3
0.6	0.0176991150442478	0.0123881034727284	0.00123881034727284	unweighted	No	D3
0.65	0.0154867256637168	0.0116899589803578	0.00116899589803578	unweighted	No	D3
0.7	0.010353982300885	0.00853605786320596	0.000853605786320596	unweighted	No	D3
0.75	0.00761061946902655	0.00805595042665692	0.000805595042665692	unweighted	No	D3
0.8	0.00486725663716814	0.00693229603363398	0.000693229603363398	unweighted	No	D3
0.85	0.00353982300884956	0.00562514801914804	0.000562514801914804	unweighted	No	D3
0.9	0.00256637168141593	0.00422729031550109	0.000422729031550109	unweighted	No	D3
0.95	0.000619469026548673	0.00226931327412604	0.000226931327412604	unweighted	No	D3
1	0	0	0	unweighted	No	D3
0.05	0.016283185840708	0.00430608663162651	0.000430608663162651	weighted	Yes	D3
0.1	0.0152212389380531	0.00549424652581299	0.000549424652581299	weighted	Yes	D3
0.15	0.0144247787610619	0.00598688602416398	0.000598688602416398	weighted	Yes	D3
0.2	0.0117699115044248	0.00755269082680721	0.000755269082680721	weighted	Yes	D3
0.25	0.0117699115044248	0.00734022545305015	0.000734022545305015	weighted	Yes	D3
0.3	0.0100884955752212	0.00775577164060127	0.000775577164060128	weighted	Yes	D3
0.35	0.00867256637168142	0.00733213823609562	0.000733213823609562	weighted	Yes	D3
0.4	0.00743362831858407	0.00751752155725959	0.000751752155725959	weighted	Yes	D3
0.45	0.00707964601769911	0.00754692801258798	0.000754692801258798	weighted	Yes	D3
0.5	0.0068141592920354	0.00698685503382125	0.000698685503382124	weighted	Yes	D3
0.55	0.00805309734513274	0.0072360265180701	0.00072360265180701	weighted	Yes	D3
0.6	0.00716814159292035	0.00612276108946535	0.000612276108946535	weighted	Yes	D3
0.65	0.00672566371681416	0.00604801517147136	0.000604801517147136	weighted	Yes	D3
0.7	0.00504424778761062	0.00579895196994399	0.000579895196994399	weighted	Yes	D3
0.75	0.00584070796460177	0.00506575733552947	0.000506575733552947	weighted	Yes	D3
0.8	0.00398230088495575	0.00460008495532541	0.000460008495532541	weighted	Yes	D3
0.85	0.00283185840707965	0.00451415938053115	0.000451415938053115	weighted	Yes	D3
0.9	0.0020353982300885	0.00374294322727125	0.000374294322727124	weighted	Yes	D3
0.95	0.000707964601769912	0.00241291968446275	0.000241291968446275	weighted	Yes	D3
1	0	0	0	weighted	Yes	D3
0.05	0.0156637168141593	0.00531494634115642	0.000531494634115642	unweighted	Yes	D3
0.1	0.0169026548672566	0.00335038840460193	0.000335038840460193	unweighted	Yes	D3
0.15	0.0148672566371681	0.00588359290906786	0.000588359290906786	unweighted	Yes	D3
0.2	0.0138053097345133	0.00645300348305499	0.000645300348305499	unweighted	Yes	D3
0.25	0.0123893805309735	0.00733429569921016	0.000733429569921016	unweighted	Yes	D3
0.3	0.00946902654867257	0.00736174793129855	0.000736174793129855	unweighted	Yes	D3
0.35	0.00893805309734513	0.00780406933171992	0.000780406933171992	unweighted	Yes	D3
0.4	0.00814159292035398	0.00782279932754169	0.000782279932754169	unweighted	Yes	D3
0.45	0.00805309734513274	0.0074514635336923	0.00074514635336923	unweighted	Yes	D3
0.5	0.00743362831858407	0.00637902698263615	0.000637902698263615	unweighted	Yes	D3
0.55	0.0068141592920354	0.00651825783596877	0.000651825783596877	unweighted	Yes	D3
0.6	0.00699115044247788	0.0066907346467526	0.00066907346467526	unweighted	Yes	D3
0.65	0.00628318584070796	0.00593912813820835	0.000593912813820835	unweighted	Yes	D3
0.7	0.00575221238938053	0.00524301818075011	0.000524301818075011	unweighted	Yes	D3
0.75	0.00539823008849557	0.00588560933441149	0.000588560933441149	unweighted	Yes	D3
0.8	0.00415929203539823	0.0047822029723786	0.00047822029723786	unweighted	Yes	D3
0.85	0.00221238938053097	0.00405147356656962	0.000405147356656962	unweighted	Yes	D3
0.9	0.00176991150442478	0.00355765598321845	0.000355765598321845	unweighted	Yes	D3
0.95	0.000884955752212389	0.00266824198741384	0.000266824198741384	unweighted	Yes	D3
1	0	0	0	unweighted	Yes	D3
0.05	0.0951327433628319	0.0102475777979541	0.00102475777979541	weighted	No	D3
0.1	0.0864601769911504	0.0127565037576134	0.00127565037576134	weighted	No	D3
0.15	0.0786725663716814	0.0127589839994601	0.00127589839994601	weighted	No	D3
0.2	0.068141592920354	0.0175419859924122	0.00175419859924122	weighted	No	D3
0.25	0.0623893805309735	0.017217685868343	0.0017217685868343	weighted	No	D3
0.3	0.0532743362831858	0.0163507097771063	0.00163507097771063	weighted	No	D3
0.35	0.0469026548672566	0.0164240836661653	0.00164240836661653	weighted	No	D3
0.4	0.0407964601769912	0.014662927797342	0.0014662927797342	weighted	No	D3
0.45	0.0323893805309734	0.0155186813549438	0.00155186813549438	weighted	No	D3
0.5	0.0299115044247788	0.0143292296146723	0.00143292296146723	weighted	No	D3
0.55	0.0238938053097345	0.0132220896064586	0.00132220896064586	weighted	No	D3
0.6	0.0184070796460177	0.0126834302760161	0.00126834302760161	weighted	No	D3
0.65	0.0139823008849558	0.0111215876806193	0.00111215876806193	weighted	No	D3
0.7	0.0105309734513274	0.00921692132518546	0.000921692132518546	weighted	No	D3
0.75	0.00761061946902655	0.00722782271377928	0.000722782271377928	weighted	No	D3
0.8	0.00672566371681416	0.0076634255186878	0.00076634255186878	weighted	No	D3
0.85	0.00300884955752212	0.0052195796664422	0.00052195796664422	weighted	No	D3
0.9	0.0020353982300885	0.00414413477414866	0.000414413477414866	weighted	No	D3
0.95	0.000884955752212389	0.00320682776698884	0.000320682776698884	weighted	No	D3
1	0	0	0	weighted	No	D3
0.05	0.0889380530973451	0.0091029252198947	0.00091029252198947	unweighted	No	D3
0.1	0.0784955752212389	0.0133503973848831	0.00133503973848831	unweighted	No	D3
0.15	0.0730973451327434	0.0136992855068275	0.00136992855068275	unweighted	No	D3
0.2	0.0621238938053097	0.0157091763489019	0.00157091763489019	unweighted	No	D3
0.25	0.0571681415929204	0.0172197532448631	0.00172197532448631	unweighted	No	D3
0.3	0.0511504424778761	0.0159391326086297	0.00159391326086297	unweighted	No	D3
0.35	0.0438053097345133	0.0144717797284334	0.00144717797284334	unweighted	No	D3
0.4	0.0417699115044248	0.0136680679527564	0.00136680679527564	unweighted	No	D3
0.45	0.0332743362831858	0.0156658100039766	0.00156658100039766	unweighted	No	D3
0.5	0.0282300884955752	0.0144892610285029	0.00144892610285029	unweighted	No	D3
0.55	0.0232743362831858	0.0138162956840545	0.00138162956840545	unweighted	No	D3
0.6	0.0176991150442478	0.0123881034727284	0.00123881034727284	unweighted	No	D3
0.65	0.0154867256637168	0.0116899589803578	0.00116899589803578	unweighted	No	D3
0.7	0.010353982300885	0.00853605786320596	0.000853605786320596	unweighted	No	D3
0.75	0.00761061946902655	0.00805595042665692	0.000805595042665692	unweighted	No	D3
0.8	0.00486725663716814	0.00693229603363398	0.000693229603363398	unweighted	No	D3
0.85	0.00353982300884956	0.00562514801914804	0.000562514801914804	unweighted	No	D3
0.9	0.00256637168141593	0.00422729031550109	0.000422729031550109	unweighted	No	D3
0.95	0.000619469026548673	0.00226931327412604	0.000226931327412604	unweighted	No	D3
1	0	0	0	unweighted	No	D3
