Proportion.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
0.8	0.00511627906976744	0.00707394508320203	0.000707394508320203	unweighted	No	D5
0.85	0.00465116279069767	0.00681433389915917	0.000681433389915917	unweighted	No	D5
0.9	0.00174418604651163	0.00448828019832875	0.000448828019832875	unweighted	No	D5
0.95	0.000581395348837209	0.00254701062276268	0.000254701062276268	unweighted	No	D5
1	0	0	0	unweighted	No	D5
0.05	0.0109302325581395	0.00277538670437142	0.000277538670437142	weighted	Yes	D5
0.1	0.01	0.00405505916302066	0.000405505916302066	weighted	Yes	D5
0.15	0.00988372093023256	0.00417291024747252	0.000417291024747252	weighted	Yes	D5
0.2	0.00953488372093023	0.00448980139145778	0.000448980139145778	weighted	Yes	D5
0.25	0.00895348837209302	0.00491805331025175	0.000491805331025175	weighted	Yes	D5
0.3	0.0086046511627907	0.00512609304973033	0.000512609304973033	weighted	Yes	D5
0.35	0.00883720930232558	0.00499110111617358	0.000499110111617358	weighted	Yes	D5
0.4	0.0086046511627907	0.00512609304973033	0.000512609304973033	weighted	Yes	D5
0.45	0.0086046511627907	0.00512609304973033	0.000512609304973033	weighted	Yes	D5
0.5	0.00697674418604651	0.00572518562694571	0.000572518562694571	weighted	Yes	D5
0.55	0.0077906976744186	0.00549513444913094	0.000549513444913094	weighted	Yes	D5
0.6	0.00662790697674419	0.00578569595297957	0.000578569595297957	weighted	Yes	D5
0.65	0.00744186046511628	0.00560951338749328	0.000560951338749328	weighted	Yes	D5
0.7	0.00674418604651163	0.00576796469475417	0.000576796469475417	weighted	Yes	D5
0.75	0.00558139534883721	0.00583856664614742	0.000583856664614742	weighted	Yes	D5
0.8	0.005	0.00578569595297957	0.000578569595297957	weighted	Yes	D5
0.85	0.0036046511627907	0.00540492091525269	0.000540492091525269	weighted	Yes	D5
0.9	0.00151162790697674	0.0039302054533678	0.00039302054533678	weighted	Yes	D5
0.95	0.000465116279069767	0.00229007425077828	0.000229007425077828	weighted	Yes	D5
1	0	0	0	weighted	Yes	D5
0.05	0.011046511627907	0.00254701062276268	0.000254701062276268	unweighted	Yes	D5
0.1	0.0105813953488372	0.00334445920075188	0.000334445920075188	unweighted	Yes	D5
0.15	0.0105813953488372	0.00334445920075188	0.000334445920075188	unweighted	Yes	D5
0.2	0.0104651162790698	0.0035059458671833	0.00035059458671833	unweighted	Yes	D5
0.25	0.00906976744186046	0.00484108371968868	0.000484108371968868	unweighted	Yes	D5
0.3	0.00906976744186046	0.00484108371968868	0.000484108371968868	unweighted	Yes	D5
0.35	0.00872093023255814	0.00506039697545633	0.000506039697545633	unweighted	Yes	D5
0.4	0.00895348837209302	0.00491805331025175	0.000491805331025175	unweighted	Yes	D5
0.45	0.00744186046511628	0.00560951338749328	0.000560951338749328	unweighted	Yes	D5
0.5	0.00744186046511628	0.00560951338749328	0.000560951338749328	unweighted	Yes	D5
0.55	0.00697674418604651	0.00572518562694571	0.000572518562694571	unweighted	Yes	D5
0.6	0.00790697674418605	0.00545146711932733	0.000545146711932733	unweighted	Yes	D5
0.65	0.0072093023255814	0.00567246199086702	0.000567246199086702	unweighted	Yes	D5
0.7	0.00534883720930233	0.00582451472048876	0.000582451472048876	unweighted	Yes	D5
0.75	0.00488372093023256	0.00576796469475417	0.000576796469475417	unweighted	Yes	D5
0.8	0.0036046511627907	0.00540492091525269	0.000540492091525269	unweighted	Yes	D5
0.85	0.00372093023255814	0.00545146711932733	0.000545146711932733	unweighted	Yes	D5
0.9	0.00209302325581395	0.00448980139145778	0.000448980139145778	unweighted	Yes	D5
0.95	0.000465116279069767	0.00229007425077828	0.000229007425077828	unweighted	Yes	D5
1	0	0	0	unweighted	Yes	D5
0.05	0.105	0.012636004785644	0.0012636004785644	weighted	No	D5
0.1	0.0952325581395349	0.015826022422747	0.0015826022422747	weighted	No	D5
0.15	0.086046511627907	0.0155917173289905	0.00155917173289905	weighted	No	D5
0.2	0.0751162790697674	0.0193742063678823	0.00193742063678823	weighted	No	D5
0.25	0.0679069767441861	0.0204910464210798	0.00204910464210798	weighted	No	D5
0.3	0.0598837209302326	0.018057417592961	0.0018057417592961	weighted	No	D5
0.35	0.0487209302325581	0.0191098171719601	0.00191098171719601	weighted	No	D5
0.4	0.0462790697674419	0.0185502493319428	0.00185502493319428	weighted	No	D5
0.45	0.0376744186046512	0.0178860516749433	0.00178860516749433	weighted	No	D5
0.5	0.0356976744186046	0.0173539401801063	0.00173539401801063	weighted	No	D5
0.55	0.027906976744186	0.0138276369769898	0.00138276369769898	weighted	No	D5
0.6	0.0202325581395349	0.0144667182424406	0.00144667182424406	weighted	No	D5
0.65	0.0156976744186047	0.013260428870813	0.0013260428870813	weighted	No	D5
0.7	0.0137209302325581	0.0113761805868529	0.00113761805868529	weighted	No	D5
0.75	0.00918604651162791	0.00863456570461226	0.000863456570461226	weighted	No	D5
0.8	0.00651162790697674	0.00726444617609677	0.000726444617609677	weighted	No	D5
0.85	0.00348837209302326	0.00584324311197216	0.000584324311197216	weighted	No	D5
0.9	0.00255813953488372	0.00511542479040437	0.000511542479040437	weighted	No	D5
0.95	0.00104651162790698	0.00334445920075188	0.000334445920075188	weighted	No	D5
1	0	0	0	weighted	No	D5
0.05	0.106162790697674	0.0107940374976136	0.00107940374976136	unweighted	No	D5
0.1	0.0938372093023256	0.0157012628686272	0.00157012628686272	unweighted	No	D5
0.15	0.0874418604651163	0.0158936212645643	0.00158936212645643	unweighted	No	D5
0.2	0.076046511627907	0.0190184772355477	0.00190184772355477	unweighted	No	D5
0.25	0.0679069767441861	0.0183831065729757	0.00183831065729757	unweighted	No	D5
0.3	0.0587209302325581	0.019927086828311	0.0019927086828311	unweighted	No	D5
0.35	0.053953488372093	0.0179165687619265	0.00179165687619265	unweighted	No	D5
0.4	0.0484883720930233	0.0174167856718427	0.00174167856718427	unweighted	No	D5
0.45	0.0351162790697674	0.0166079730896345	0.00166079730896345	unweighted	No	D5
0.5	0.0312790697674419	0.0178535701151481	0.00178535701151481	unweighted	No	D5
0.55	0.0277906976744186	0.0167647115341743	0.00167647115341743	unweighted	No	D5
0.6	0.0208139534883721	0.01561753615756	0.001561753615756	unweighted	No	D5
0.65	0.0158139534883721	0.0141710391704311	0.00141710391704311	unweighted	No	D5
0.7	0.0112790697674419	0.0102488551964521	0.00102488551964521	unweighted	No	D5
0.75	0.00837209302325581	0.00936086817044134	0.000936086817044134	unweighted	No	D5
0.8	0.00511627906976744	0.00707394508320203	0.000707394508320203	unweighted	No	D5
0.85	0.00465116279069767	0.00681433389915917	0.000681433389915917	unweighted	No	D5
0.9	0.00174418604651163	0.00448828019832875	0.000448828019832875	unweighted	No	D5
0.95	0.000581395348837209	0.00254701062276268	0.000254701062276268	unweighted	No	D5
1	0	0	0	unweighted	No	D5
