Proportion.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
0.45	0.0300682261208577	0.0190889703614352	0.00190889703614352	weighted	Yes	D0
0.5	0.0216471734892788	0.0164773263919792	0.00164773263919792	weighted	Yes	D0
0.55	0.0167056530214425	0.0131459622436995	0.00131459622436995	weighted	Yes	D0
0.6	0.0112573099415205	0.00996503870160282	0.000996503870160282	weighted	Yes	D0
0.65	0.0105750487329435	0.0101217260511282	0.00101217260511282	weighted	Yes	D0
0.7	0.00478557504873294	0.00608925663569487	0.000608925663569488	weighted	Yes	D0
0.75	0.00369395711500975	0.00537299635261539	0.000537299635261539	weighted	Yes	D0
0.8	0.00183235867446394	0.00302329977843975	0.000302329977843975	weighted	Yes	D0
0.85	0.00112085769980507	0.00174888051307328	0.000174888051307328	weighted	Yes	D0
0.9	0.000672514619883041	0.00126735941829147	0.000126735941829147	weighted	Yes	D0
0.95	0.000380116959064327	0.000516391773850177	5.16391773850177e-05	weighted	Yes	D0
1	0	0	0	weighted	Yes	D0
0.05	0.0682358674463938	0.018150065873128	0.0018150065873128	unweighted	Yes	D0
0.1	0.0638499025341131	0.0209570521913252	0.00209570521913252	unweighted	Yes	D0
0.15	0.0569395711500975	0.0220862643123741	0.00220862643123741	unweighted	Yes	D0
0.2	0.0485087719298246	0.0221706811010466	0.00221706811010466	unweighted	Yes	D0
0.25	0.0412475633528265	0.0194985323536457	0.00194985323536457	unweighted	Yes	D0
0.3	0.0397953216374269	0.0194996026782331	0.00194996026782331	unweighted	Yes	D0
0.35	0.0313060428849903	0.0168322226846805	0.00168322226846805	unweighted	Yes	D0
0.4	0.0247465886939571	0.0152447472555228	0.00152447472555228	unweighted	Yes	D0
0.45	0.020906432748538	0.0137930657732643	0.00137930657732643	unweighted	Yes	D0
0.5	0.0182651072124756	0.0130195152008352	0.00130195152008352	unweighted	Yes	D0
0.55	0.0139473684210526	0.0102069916845519	0.00102069916845519	unweighted	Yes	D0
0.6	0.011140350877193	0.00804828476831304	0.000804828476831304	unweighted	Yes	D0
0.65	0.00781676413255361	0.00815926310603738	0.000815926310603738	unweighted	Yes	D0
0.7	0.00635477582846004	0.00673624481308055	0.000673624481308055	unweighted	Yes	D0
0.75	0.00324561403508772	0.00397191986045713	0.000397191986045713	unweighted	Yes	D0
0.8	0.00216374269005848	0.0035739639821821	0.00035739639821821	unweighted	Yes	D0
0.85	0.00153021442495127	0.00238844158459628	0.000238844158459628	unweighted	Yes	D0
0.9	0.000653021442495127	0.00105552823362765	0.000105552823362765	unweighted	Yes	D0
0.95	0.000458089668615984	0.000698934680725941	6.98934680725941e-05	unweighted	Yes	D0
1	0	0	0	unweighted	Yes	D0
0.05	0.45270955165692	0.0109128385449051	0.00109128385449051	weighted	No	D0
0.1	0.417280701754386	0.0140912663474524	0.00140912663474524	weighted	No	D0
0.15	0.382904483430799	0.0168081142376683	0.00168081142376683	weighted	No	D0
0.2	0.345828460038986	0.0188012854698157	0.00188012854698157	weighted	No	D0
0.25	0.314853801169591	0.0215246422986826	0.00215246422986826	weighted	No	D0
0.3	0.280136452241715	0.0172660981894271	0.00172660981894271	weighted	No	D0
0.35	0.245964912280702	0.0176564537573759	0.00176564537573759	weighted	No	D0
0.4	0.214883040935673	0.0191987806303196	0.00191987806303196	weighted	No	D0
0.45	0.191549707602339	0.0188166284953101	0.00188166284953101	weighted	No	D0
0.5	0.16307992202729	0.0175262829189915	0.00175262829189915	weighted	No	D0
0.55	0.136345029239766	0.017223093851065	0.0017223093851065	weighted	No	D0
0.6	0.109853801169591	0.0145651702317232	0.00145651702317232	weighted	No	D0
0.65	0.087719298245614	0.0134211680618422	0.00134211680618422	weighted	No	D0
0.7	0.0632943469785575	0.01206089359458	0.001206089359458	weighted	No	D0
0.75	0.0464717348927875	0.0086932321720418	0.00086932321720418	weighted	No	D0
0.8	0.0303313840155945	0.0078111401255822	0.00078111401255822	weighted	No	D0
0.85	0.0177387914230019	0.00609698111909521	0.000609698111909521	weighted	No	D0
0.9	0.00802144249512671	0.00337021572170003	0.000337021572170003	weighted	No	D0
0.95	0.00189083820662768	0.00160254617722962	0.000160254617722962	weighted	No	D0
1	0	0	0	weighted	No	D0
0.05	0.465214424951267	0.0106441747533046	0.00106441747533046	unweighted	No	D0
0.1	0.428460038986355	0.0141662073341295	0.00141662073341295	unweighted	No	D0
0.15	0.388011695906433	0.0174184339969722	0.00174184339969722	unweighted	No	D0
0.2	0.356998050682261	0.0171791272921815	0.00171791272921815	unweighted	No	D0
0.25	0.317846003898635	0.016463693785708	0.0016463693785708	unweighted	No	D0
0.3	0.281842105263158	0.0186071991143569	0.00186071991143569	unweighted	No	D0
0.35	0.246978557504873	0.0188688489377721	0.00188688489377721	unweighted	No	D0
0.4	0.224317738791423	0.0197141155431638	0.00197141155431638	unweighted	No	D0
0.45	0.189230019493177	0.0202443408474155	0.00202443408474155	unweighted	No	D0
0.5	0.163489278752437	0.0159682490276081	0.00159682490276081	unweighted	No	D0
0.55	0.135536062378168	0.0150839761927181	0.00150839761927181	unweighted	No	D0
0.6	0.107475633528265	0.0146561694854911	0.00146561694854911	unweighted	No	D0
0.65	0.0870175438596491	0.0129637216749747	0.00129637216749747	unweighted	No	D0
0.7	0.0662670565302144	0.01151941098697	0.001151941098697	unweighted	No	D0
0.75	0.0453606237816764	0.00916660989133854	0.000916660989133854	unweighted	No	D0
0.8	0.0307212475633528	0.0067405168577592	0.00067405168577592	unweighted	No	D0
0.85	0.0174463937621832	0.0052923930374558	0.00052923930374558	unweighted	No	D0
0.9	0.00782651072124756	0.00380762649122896	0.000380762649122896	unweighted	No	D0
0.95	0.00230994152046784	0.00176678518433916	0.000176678518433916	unweighted	No	D0
1	0	0	0	unweighted	No	D0
